7-mrt-2014 15:34:24	component JVM, 	 m'_min=1, 	 m'_max=21
7-mrt-2014 15:34:24	Component name=JVM	Theta_i=11.0	 k=0	 Ak_max=0.07-mrt-2014 15:34:24	Component name=JVM	Theta_i=11.0	 k=1	 Ak_max=0.07-mrt-2014 15:34:24	Component name=JVM	Theta_i=5.0	 k=0	 Ak_max=0.07-mrt-2014 15:34:24	Component name=JVM	Theta_i=5.0	 k=1	 Ak_max=0.07-mrt-2014 15:34:24	Component name=JVM	Theta_i=2.0	 k=0	 Ak_max=0.07-mrt-2014 15:34:24	Component name=JVM	Theta_i=2.0	 k=1	 Ak_max=0.07-mrt-2014 15:34:24	Component name=JVM	Theta_i=1.0	 k=0	 Ak_max=0.07-mrt-2014 15:34:24	Component name=JVM	Theta_i=1.0	 k=1	 Ak_max=0.07-mrt-2014 15:34:24	component Digital Controller, 	 m'_min=1, 	 m'_max=21
7-mrt-2014 15:34:24	Component name=Digital Controller	Theta_i=11.0	 k=0	 Ak_max=0.07-mrt-2014 15:34:24	Component name=Digital Controller	Theta_i=11.0	 k=1	 Ak_max=0.07-mrt-2014 15:34:24	Component name=Digital Controller	Theta_i=5.0	 k=0	 Ak_max=0.07-mrt-2014 15:34:24	Component name=Digital Controller	Theta_i=5.0	 k=1	 Ak_max=0.07-mrt-2014 15:34:24	Component name=Digital Controller	Theta_i=2.0	 k=0	 Ak_max=0.07-mrt-2014 15:34:24	Component name=Digital Controller	Theta_i=2.0	 k=1	 Ak_max=0.07-mrt-2014 15:34:24	Component name=Digital Controller	Theta_i=1.0	 k=0	 Ak_max=0.07-mrt-2014 15:34:24	Component name=Digital Controller	Theta_i=1.0	 k=1	 Ak_max=0.07-mrt-2014 15:34:24	component Multimedia, 	 m'_min=1, 	 m'_max=11
7-mrt-2014 15:34:24	Component name=Multimedia	Theta_i=6.0	 k=0	 Ak_max=0.07-mrt-2014 15:34:24	Component name=Multimedia	Theta_i=3.0	 k=0	 Ak_max=0.07-mrt-2014 15:34:24	Component name=Multimedia	Theta_i=1.0	 k=0	 Ak_max=0.07-mrt-2014 15:34:24	component system, 	 m'_min=3, 	 m'_max=31
7-mrt-2014 15:34:24	Component name=system	Theta_i=17.0	 k=0	 Ak_max=2.8571428571428577-mrt-2014 15:34:24	Component name=system	Theta_i=24.0	 k=0	 Ak_max=2.57142857142857167-mrt-2014 15:34:24	Component name=system	Theta_i=28.0	 k=0	 Ak_max=2.487-mrt-2014 15:34:24	Component name=system	Theta_i=30.0	 k=0	 Ak_max=2.44444444444444467-mrt-2014 15:34:24	Component name=system	Theta_i=31.0	 k=0	 Ak_max=2.42857142857142847-mrt-2014 15:35:11	component JVM, 	 m'_min=1, 	 m'_max=21
7-mrt-2014 15:35:11	Component name=JVM	Theta_i=11.0	 k=0	 Ak_max=0.07-mrt-2014 15:35:11	Component name=JVM	Theta_i=11.0	 k=1	 Ak_max=0.07-mrt-2014 15:35:11	Component name=JVM	Theta_i=5.0	 k=0	 Ak_max=0.07-mrt-2014 15:35:11	Component name=JVM	Theta_i=5.0	 k=1	 Ak_max=0.07-mrt-2014 15:35:11	Component name=JVM	Theta_i=2.0	 k=0	 Ak_max=0.07-mrt-2014 15:35:11	Component name=JVM	Theta_i=2.0	 k=1	 Ak_max=0.07-mrt-2014 15:35:11	Component name=JVM	Theta_i=1.0	 k=0	 Ak_max=0.07-mrt-2014 15:35:11	Component name=JVM	Theta_i=1.0	 k=1	 Ak_max=0.07-mrt-2014 15:35:11	component Digital Controller, 	 m'_min=1, 	 m'_max=21
7-mrt-2014 15:35:11	Component name=Digital Controller	Theta_i=11.0	 k=0	 Ak_max=0.07-mrt-2014 15:35:11	Component name=Digital Controller	Theta_i=11.0	 k=1	 Ak_max=0.07-mrt-2014 15:35:11	Component name=Digital Controller	Theta_i=5.0	 k=0	 Ak_max=0.07-mrt-2014 15:35:11	Component name=Digital Controller	Theta_i=5.0	 k=1	 Ak_max=0.07-mrt-2014 15:35:11	Component name=Digital Controller	Theta_i=2.0	 k=0	 Ak_max=0.07-mrt-2014 15:35:11	Component name=Digital Controller	Theta_i=2.0	 k=1	 Ak_max=0.07-mrt-2014 15:35:11	Component name=Digital Controller	Theta_i=1.0	 k=0	 Ak_max=0.07-mrt-2014 15:35:11	Component name=Digital Controller	Theta_i=1.0	 k=1	 Ak_max=0.07-mrt-2014 15:35:11	component Multimedia, 	 m'_min=1, 	 m'_max=11
7-mrt-2014 15:35:11	Component name=Multimedia	Theta_i=6.0	 k=0	 Ak_max=0.07-mrt-2014 15:35:11	Component name=Multimedia	Theta_i=3.0	 k=0	 Ak_max=0.07-mrt-2014 15:35:11	Component name=Multimedia	Theta_i=1.0	 k=0	 Ak_max=0.07-mrt-2014 15:35:11	component system, 	 m'_min=3, 	 m'_max=31
7-mrt-2014 15:35:11	Component name=system	Theta_i=17.0	 k=0	 Ak_max=2.8571428571428577-mrt-2014 15:35:11	Component name=system	Theta_i=24.0	 k=0	 Ak_max=2.57142857142857167-mrt-2014 15:35:11	Component name=system	Theta_i=28.0	 k=0	 Ak_max=2.487-mrt-2014 15:35:11	Component name=system	Theta_i=30.0	 k=0	 Ak_max=2.44444444444444467-mrt-2014 15:35:11	Component name=system	Theta_i=31.0	 k=0	 Ak_max=2.42857142857142847-mrt-2014 15:50:41	component JVM, 	 m'_min=1, 	 m'_max=21
7-mrt-2014 15:50:41	Component name=JVM	Theta_i=11.0	 k=0	 Ak_max=0.07-mrt-2014 15:50:41	Component name=JVM	Theta_i=11.0	 k=1	 Ak_max=0.07-mrt-2014 15:50:41	Component name=JVM	Theta_i=5.0	 k=0	 Ak_max=0.07-mrt-2014 15:50:41	Component name=JVM	Theta_i=5.0	 k=1	 Ak_max=0.07-mrt-2014 15:50:41	Component name=JVM	Theta_i=2.0	 k=0	 Ak_max=0.07-mrt-2014 15:50:41	Component name=JVM	Theta_i=2.0	 k=1	 Ak_max=0.07-mrt-2014 15:50:41	Component name=JVM	Theta_i=1.0	 k=0	 Ak_max=0.07-mrt-2014 15:50:41	Component name=JVM	Theta_i=1.0	 k=1	 Ak_max=0.07-mrt-2014 15:50:41	component Digital Controller, 	 m'_min=1, 	 m'_max=21
7-mrt-2014 15:50:41	Component name=Digital Controller	Theta_i=11.0	 k=0	 Ak_max=0.07-mrt-2014 15:50:41	Component name=Digital Controller	Theta_i=11.0	 k=1	 Ak_max=0.07-mrt-2014 15:50:41	Component name=Digital Controller	Theta_i=5.0	 k=0	 Ak_max=0.07-mrt-2014 15:50:41	Component name=Digital Controller	Theta_i=5.0	 k=1	 Ak_max=0.07-mrt-2014 15:50:41	Component name=Digital Controller	Theta_i=2.0	 k=0	 Ak_max=0.07-mrt-2014 15:50:41	Component name=Digital Controller	Theta_i=2.0	 k=1	 Ak_max=0.07-mrt-2014 15:50:41	Component name=Digital Controller	Theta_i=1.0	 k=0	 Ak_max=0.07-mrt-2014 15:50:41	Component name=Digital Controller	Theta_i=1.0	 k=1	 Ak_max=0.07-mrt-2014 15:50:41	component Multimedia, 	 m'_min=1, 	 m'_max=11
